En quelle année la Vème République est-elle entrée en vigueur ?;1878;1905;1958;1962;3
Qui a écrit "Roméo et Juliette" ?;Charles Dickens;William Shakespeare;Jane Austen;Victor Hugo;2
Quel est le plus long fleuve du monde ?;Nil;Amazone;Mississippi;Yangtsé;2
Quelle est la capitale du Japon ?;Pékin;Tokyo;Séoul;Bangkok;2
En quelle année a eu lieu la Révolution française ?;1642;1789;1832;1914;2
Quelle est la plus grande île du monde ?;Groenland;Madagascar;Bornéo;Nouvelle-Guinée;1
Quel est le symbole chimique de l'or ?;Au;Ag;Fe;Cu;1
Qui a écrit "Les Misérables" ?;Gustave Flaubert;Emile Zola;Victor Hugo;Honoré de Balzac;3
Quelle est la monnaie officielle de l'Allemagne ?;Franc;Livre;Euro;Mark;3
Quel est le plus grand désert du monde ?;Sahara;Gobi;Atacama;Kalahari;1
En quelle année a eu lieu la première guerre mondiale ?;1905;1914;1939;1945;2
Qui a écrit "L'Odyssée" ?;Sophocle;Homère;Platon;Aristote;2
Quelle est la plus haute montagne du monde ?;Mont Everest;Kilimandjaro;Mont McKinley;Mont Blanc;1
Qui était le premier président des États-Unis ?;Thomas Jefferson;George Washington;Abraham Lincoln;John Adams;2
Quel est le plus grand pays d'Amérique du Sud ?;Brésil;Argentine;Pérou;Colombie;1
En quelle année a eu lieu la chute du mur de Berlin ?;1989;1991;1979;1965;1
Qui a écrit "Le Petit Prince" ?;Jules Verne;Antoine de Saint-Exupéry;Marcel Proust;Albert Camus;2
Quel est le plus grand lac d'Afrique ?;Lac Victoria;Lac Tanganyika;Lac Malawi;Lac Turkana;1
Quelle est la capitale de l'Australie ?;Sydney;Melbourne;Canberra;Brisbane;3
Qui a écrit "Orgueil et Préjugés" ?;Jane Austen;Charlotte Brontë;Emily Brontë;Charles Dickens;1
Quel est le pays le plus peuplé du monde ?;Inde;Chine;États-Unis;Russie;1
Quelle est la devise de la France ?;Liberté, Égalité, Fraternité;E pluribus unum;In God We Trust;Ich dien;1
Qui a inventé la première ampoule électrique ?;Nikola Tesla;Thomas Edison;Alexander Graham Bell;Marie Curie;2
Quelle est la plus longue rivière du monde ?;Nil;Amazone;Yangtsé;Mississippi;4
En quelle année a eu lieu la Déclaration d'indépendance des États-Unis ?;1776;1789;1804;1812;1
Qui a écrit "Crime et Châtiment" ?;Fiodor Dostoïevski;Léon Tolstoï;Anton Tchekhov;Alexandre Pouchkine;1
Quelle est la plus grande île de la Méditerranée ?;Sicile;Sardaigne;Corse;Crète;2
En quelle année a eu lieu la bataille de Waterloo ?;1805;1815;1830;1848;2
Qui a écrit "Hamlet" ?;William Shakespeare;John Milton;Geoffrey Chaucer;Christopher Marlowe;1
Quel est le plus grand océan du monde ?;Océan Atlantique;Océan Arctique;Océan Indien;Océan Pacifique;4
Qui a peint "La Nuit étoilée" ?;Vincent van Gogh;Pablo Picasso;Leonardo da Vinci;Claude Monet;1
Quelle est la plus haute montagne du monde ?;Mont Everest;Mont Kilimandjaro;Mont Fuji;Mont McKinley;1
Quel est le plus grand désert du monde ?;Le Sahara;Le désert de Gobi;Le désert d'Atacama;Le désert du Kalahari;1
Qui a écrit "1984" ?;George Orwell;Aldous Huxley;Ray Bradbury;H.G. Wells;1
Quelle est la capitale de la France ?;Londres;Berlin;Rome;Paris;4
Qui a découvert la gravité avec une pomme ?;Isaac Newton;Galilée;Albert Einstein;Marie Curie;1
Quel est l'animal terrestre le plus rapide ?;Guépard;Lion;Gazelle;Antilope;1
Quel est le plus grand organe du corps humain ?;Cœur;Cerveau;Peau;Poumons;3
Qui a peint "Les Tournesols" ?;Pablo Picasso;Vincent van Gogh;Claude Monet;Leonardo da Vinci;2
Quel est le symbole chimique de l'eau ?;H;H2O;W;Au;2
Qui est l'auteur de la pièce "Hamlet" ?;William Shakespeare;John Milton;Christopher Marlowe;Charles Dickens;1
Quel est le plus grand pays du monde en superficie ?;Canada;Chine;Russie;États-Unis;3
Qui a peint "La Cène" ?;Vincent van Gogh;Leonardo da Vinci;Pablo Picasso;Michel-Ange;2
Quelle est la planète la plus proche du Soleil ?;Vénus;Mercure;Mars;Jupiter;2
